 (452, 'Awesome'),
 (37, 'Excellent'),
 (988, 'Awesome'),
 (433, 'Excellent'),
 (663, 'Excellent'),
 (595, 'Awesome'),
 (776, 'Awesome'),
 (750, 'Excellent'),
 (203, 'Excellent'),
 (282, 'Excellent'),
 (682, 'Awesome'),
 (779, 'Cool'),
 (325, 'Cool'),
 (133, 'Excellent'),
 (313, 'Excellent'),
 (410, 'Cool'),
 (897, 'Cool'),
 (657, 'Cool'),
 (62, 'Excellent'),
 (null, 'Cool'),
 (533, 'Awesome'),
 (796, 'Cool'),
 (934, 'Excellent'),
 (553, 'Cool'),
 (824, 'Cool'),
 (918, 'Excellent'),
 (910, 'Excellent'),
 (null, 'Excellent'),
 (908, 'Excellent'),
 (820, 'Awesome'),
 (null, 'Awesome'),
 (261, 'Cool'),
 (945, 'Excellent'),
 (806, 'Excellent'),
 (472, 'Excellent'),
 (164, 'Excellent'),
 (428, 'Excellent'),
 (273, 'Awesome'),
 (557, 'Awesome'),
 (629, 'Cool'),
 (51, 'Excellent'),
 (null, 'Excellent'),
 (63, 'Awesome'),
 (409, 'Excellent'),
 (122, 'Awesome'),
 (295, 'Awesome'),
 (150, 'Cool'),
 (819, 'Cool'),
 (812, 'Awesome'),
 (481, 'Excellent'),
 (830, 'Excellent'),
 (476, 'Awesome'),
 (437, 'Awesome'),
 (118, 'Cool'),
 (990, 'Cool'),
 (381, 'Excellent'),
 (365, 'Awesome'),
 (544, 'Awesome'),
 (642, 'Excellent'),
 (972, 'Excellent'),
 (196, 'Excellent'),
 (null, 'Excellent'),
 (806, 'Excellent'),
 (null, 'Excellent'),
 (null, 'Cool'),
 (840, 'Excellent'),
 (750, 'Awesome'),
 (676, 'Awesome'),
 (193, 'Cool'),
 (637, 'Excellent'),
 (222, 'Cool'),
 (285, 'Awesome'),
 (800, 'Excellent'),
 (945, 'Excellent'),
 (125, 'Cool'),
 (839, 'Excellent'),
 (140, 'Excellent'),
 (253, 'Cool'),
 (null, 'Cool'),
 (229, 'Awesome'),
 (null, 'Awesome'),
 (97, 'Excellent'),
 (171, 'Awesome'),
 (null, 'Awesome'),
 (378, 'Excellent'),
 (120, 'Cool'),
 (null, 'Excellent'),
 (531, 'Cool'),
 (300, 'Excellent'),
 (325, 'Excellent'),
 (537, 'Excellent'),
 (240, 'Awesome'),
 (null, 'Excellent'),
 (null, 'Excellent'),
 (442, 'Awesome'),
 (126, 'Awesome'),
 (307, 'Awesome'),
 (125, 'Cool'),
 (324, 'Excellent'),
 (524, 'Cool'),
 (468, 'Awesome'),
 (353, 'Awesome'),
 (196, 'Excellent'),
 (null, 'Excellent'),
 (835, 'Excellent'),
 (734, 'Excellent'),
 (162, 'Excellent'),
 (329, 'Excellent'),
 (549, 'Cool'),
 (null, 'Cool'),
 (431, 'Excellent'),
 (951, 'Cool'),
 (822, 'Cool'),
 (401, 'Cool'),
 (273, 'Awesome'),
 (860, 'Cool'),
 (540, 'Excellent'),
 (null, 'Excellent'),
 (92, 'Excellent'),
 (18, 'Awesome'),
 (744, 'Cool'),
 (359, 'Excellent'),
 (682, 'Excellent'),
 (null, 'Awesome'),
 (294, 'Excellent'),
 (null, 'Cool'),
 (694, 'Awesome'),
 (366, 'Cool'),
 (null, 'Cool'),
 (null, 'Awesome'),
 (490, 'Awesome'),
 (747, 'Cool'),
 (87, 'Excellent'),
 (null, 'Awesome'),
 (670, 'Cool'),
 (773, 'Excellent'),
 (659, 'Excellent'),
 (48, 'Awesome'),
 (166, 'Cool'),
 (64, 'Awesome'),
 (844, 'Awesome'),
 (null, 'Awesome'),
 (898, 'Excellent'),
 (723, 'Cool'),
 (null, 'Excellent'),
 (796, 'Cool'),
 (511, 'Excellent'),
 (350, 'Awesome'),
 (null, 'Awesome'),
 (291, 'Cool'),
 (null, 'Excellent'),
 (634, 'Excellent'),
 (814, 'Cool'),
 (823, 'Excellent'),
 (620, 'Awesome'),
 (998, 'Awesome'),
 (336, 'Awesome'),
 (785, 'Awesome'),
 (197, 'Awesome'),
 (320, 'Awesome'),
 (582, 'Cool'),
 (null, 'Awesome'),
 (16, 'Cool'),
 (655, 'Cool'),
 (null, 'Excellent'),
 (null, 'Excellent'),
 (17, 'Cool'),
 (27, 'Awesome'),
 (646, 'Excellent'),
 (736, 'Cool'),
 (298, 'Cool'),
 (158, 'Excellent'),
 (128, 'Awesome'),
 (563, 'Excellent'),
 (180, 'Awesome'),
 (null, 'Awesome'),
 (524, 'Cool'),
 (346, 'Awesome'),
 (483, 'Cool'),
 (921, 'Excellent'),
 (514, 'Cool'),
 (510, 'Excellent'),
 (321, 'Cool'),
 (null, 'Excellent'),
 (351, 'Excellent'),
